Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,replicate,sample_acc,Sample Name,SRA Study,treatment
SRR10007921,AMPLICON,485,PRJNA561262,SAMN12612809,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746246,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day1.R3,PAIRED,PCR,METAGENOMIC,43,17,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296578,ASD.Day2.Rep3.12,SRP218944,ASD.Day1
SRR10007922,AMPLICON,484,PRJNA561262,SAMN12612804,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746245,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day3.R2,PAIRED,PCR,METAGENOMIC,35,14,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296577,Con.Day4.Rep2.62,SRP218944,Con.Day3
SRR10007923,AMPLICON,483,PRJNA561262,SAMN12612805,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746244,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day7.R2,PAIRED,PCR,METAGENOMIC,33,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296576,Con.Day8.Rep2.76,SRP218944,Con.Day7
SRR10007924,AMPLICON,484,PRJNA561262,SAMN12612806,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746243,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day11.R2,PAIRED,PCR,METAGENOMIC,25,10,soil metagenome,ILLUMINA,2019-08-22T00:00:00Z,Rep2,SRS5296575,Con.Day12.Rep2.85,SRP218944,Con.Day11
SRR10007925,AMPLICON,483,PRJNA561262,SAMN12612807,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746242,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day15.R2,PAIRED,PCR,METAGENOMIC,32,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296574,Con.Day16.Rep2.70,SRP218944,Con.Day15
SRR10007926,AMPLICON,486,PRJNA561262,SAMN12612800,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746241,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day15.R2,PAIRED,PCR,METAGENOMIC,37,15,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296573,ASD.Day16.Rep2.36,SRP218944,ASD.Day15
SRR10007927,AMPLICON,483,PRJNA561262,SAMN12612801,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746240,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day0.R2,PAIRED,PCR,METAGENOMIC,29,12,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296572,Con.Day1.Rep2.81,SRP218944,Con.Day0
SRR10007928,AMPLICON,482,PRJNA561262,SAMN12612802,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746239,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day1.R2,PAIRED,PCR,METAGENOMIC,31,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296571,Con.Day2.Rep2.64,SRP218944,Con.Day1
SRR10007929,AMPLICON,483,PRJNA561262,SAMN12612803,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746238,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day2.R2,PAIRED,PCR,METAGENOMIC,23,9,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296570,Con.Day3.Rep2.103,SRP218944,Con.Day2
SRR10007930,AMPLICON,486,PRJNA561262,SAMN12612826,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746237,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day7.R4,PAIRED,PCR,METAGENOMIC,30,12,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296569,ASD.Day8.Rep4.19,SRP218944,ASD.Day7
SRR10007932,AMPLICON,484,PRJNA561262,SAMN12612824,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746235,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day2.R4,PAIRED,PCR,METAGENOMIC,27,11,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296567,ASD.Day3.Rep4.6,SRP218944,ASD.Day2
SRR10007933,AMPLICON,486,PRJNA561262,SAMN12612825,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746234,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day3.R4,PAIRED,PCR,METAGENOMIC,26,10,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296566,ASD.Day4.Rep4.39,SRP218944,ASD.Day3
SRR10007934,AMPLICON,483,PRJNA561262,SAMN12612822,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746233,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day0.R4,PAIRED,PCR,METAGENOMIC,26,10,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296565,ASD.Day1.Rep4.30,SRP218944,ASD.Day0
SRR10007935,AMPLICON,484,PRJNA561262,SAMN12612823,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746232,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day1.R4,PAIRED,PCR,METAGENOMIC,31,12,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296564,ASD.Day2.Rep4.34,SRP218944,ASD.Day1
SRR10007937,AMPLICON,484,PRJNA561262,SAMN12612821,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746230,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day15.R3,PAIRED,PCR,METAGENOMIC,23,9,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296562,Con.Day16.Rep3.87,SRP218944,Con.Day15
SRR10007938,AMPLICON,483,PRJNA561262,SAMN12612831,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746229,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day2.R4,PAIRED,PCR,METAGENOMIC,33,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296561,Con.Day3.Rep4.66,SRP218944,Con.Day2
SRR10007939,AMPLICON,486,PRJNA561262,SAMN12612828,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746228,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day15.R4,PAIRED,PCR,METAGENOMIC,21,8,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296560,ASD.Day16.Rep4.27,SRP218944,ASD.Day15
SRR10007941,AMPLICON,485,PRJNA561262,SAMN12612830,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746226,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day1.R4,PAIRED,PCR,METAGENOMIC,27,11,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296558,Con.Day2.Rep4.97,SRP218944,Con.Day1
SRR10007944,AMPLICON,485,PRJNA561262,SAMN12612799,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746223,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day11.R2,PAIRED,PCR,METAGENOMIC,29,11,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296555,ASD.Day12.Rep2.32,SRP218944,ASD.Day11
SRR10007946,AMPLICON,482,PRJNA561262,SAMN12612835,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746221,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day15.R4,PAIRED,PCR,METAGENOMIC,48,19,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296553,Con.Day16.Rep4.63,SRP218944,Con.Day15
SRR10007947,AMPLICON,484,PRJNA561262,SAMN12612791,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746220,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day7.R1,PAIRED,PCR,METAGENOMIC,37,15,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296552,Con.Day8.Rep1.92,SRP218944,Con.Day7
SRR10007948,AMPLICON,484,PRJNA561262,SAMN12612790,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746219,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day3.R1,PAIRED,PCR,METAGENOMIC,28,11,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296551,Con.Day4.Rep1.59,SRP218944,Con.Day3
SRR10007949,AMPLICON,485,PRJNA561262,SAMN12612793,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746218,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day15.R1,PAIRED,PCR,METAGENOMIC,25,10,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296550,Con.Day16.Rep1.53,SRP218944,Con.Day15
SRR10007950,AMPLICON,485,PRJNA561262,SAMN12612792,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746217,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day11.R1,PAIRED,PCR,METAGENOMIC,29,11,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296549,Con.Day12.Rep1.80,SRP218944,Con.Day11
SRR10007951,AMPLICON,485,PRJNA561262,SAMN12612795,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746216,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day1.R2,PAIRED,PCR,METAGENOMIC,32,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296548,ASD.Day2.Rep2.31,SRP218944,ASD.Day1
SRR10007952,AMPLICON,485,PRJNA561262,SAMN12612794,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746215,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day0.R2,PAIRED,PCR,METAGENOMIC,32,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296547,ASD.Day1.Rep2.5,SRP218944,ASD.Day0
SRR10007953,AMPLICON,485,PRJNA561262,SAMN12612797,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746214,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day3.R2,PAIRED,PCR,METAGENOMIC,42,17,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296546,ASD.Day4.Rep2.8,SRP218944,ASD.Day3
SRR10007954,AMPLICON,486,PRJNA561262,SAMN12612796,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746213,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day2.R2,PAIRED,PCR,METAGENOMIC,34,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep2,SRS5296545,ASD.Day3.Rep2.21,SRP218944,ASD.Day2
SRR10007955,AMPLICON,485,PRJNA561262,SAMN12612813,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746212,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day11.R3,PAIRED,PCR,METAGENOMIC,39,16,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296544,ASD.Day12.Rep3.51,SRP218944,ASD.Day11
SRR10007956,AMPLICON,485,PRJNA561262,SAMN12612812,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746211,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day7.R3,PAIRED,PCR,METAGENOMIC,30,12,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296543,ASD.Day8.Rep3.25,SRP218944,ASD.Day7
SRR10007957,AMPLICON,485,PRJNA561262,SAMN12612811,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746210,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day3.R3,PAIRED,PCR,METAGENOMIC,34,13,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296542,ASD.Day4.Rep3.41,SRP218944,ASD.Day3
SRR10007958,AMPLICON,486,PRJNA561262,SAMN12612810,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746209,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day2.R3,PAIRED,PCR,METAGENOMIC,45,18,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296541,ASD.Day3.Rep3.4,SRP218944,ASD.Day2
SRR10007959,AMPLICON,483,PRJNA561262,SAMN12612817,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746208,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day2.R3,PAIRED,PCR,METAGENOMIC,25,10,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296540,Con.Day3.Rep3.73,SRP218944,Con.Day2
